,index,Datetime,Open,High,Low,Close,Volume,Highv1,Lowv1,Openv1,sell,buy,stop_loss_sl2,stop_loss_sl2_sell,stop_loss_sl2-sell,3:15-buy,3:15-sell,Put,Put-stoploss,call,call-stoploss,3:15,points-put,points-call,points,buy-points-sl2-hit
0,0,2021-12-22T09:15:00,34865.25,34977.05,34826.9,34941.85,0,,,,,,,,,,,,,,,,,,,
1,1,2021-12-22T09:20:00,34970.15,35011.7,34769.55,34769.55,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
2,2,2021-12-22T09:25:00,34856.9,34925.95,34824.4,34856.15,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
3,3,2021-12-22T09:30:00,34861.1,34913.1,34797.45,34883.1,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
4,4,2021-12-22T09:35:00,34898.4,34967.65,34892.65,34927.1,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
5,5,2021-12-22T09:40:00,34959.5,34990.6,34926.5,34962.4,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
6,6,2021-12-22T09:45:00,34959.45,34992.25,34937.85,34939.25,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
7,7,2021-12-22T09:50:00,34959.25,34987.05,34953.55,34955.2,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
8,8,2021-12-22T09:55:00,34958.85,34994.0,34907.95,34907.95,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
9,9,2021-12-22T10:00:00,34928.0,34979.4,34911.75,34911.75,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
10,10,2021-12-22T10:05:00,34928.5,34928.5,34835.7,34835.7,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
11,11,2021-12-22T10:10:00,34849.15,34896.95,34848.5,34881.55,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
12,12,2021-12-22T10:15:00,34888.6,34890.3,34822.0,34822.0,0,35021.7,34759.55,,,,,,,,,,,,,,,,,
13,13,2021-12-22T10:20:00,34843.35,34846.95,34730.0,34730.0,0,35021.7,34759.55,,34843.35,,,34868.35,,,,,,,,,,,,
14,14,2021-12-22T10:25:00,34738.25,34771.55,34698.35,34698.35,0,35021.7,34759.55,,,,,34763.25,,,,,,,,,,,,
15,15,2021-12-22T10:30:00,34701.85,34794.65,34691.3,34758.05,0,35021.7,34759.55,,,,,34763.25,,,,,,,,,,,,
16,16,2021-12-22T10:35:00,34792.0,34819.3,34713.05,34713.05,0,35021.7,34759.55,,,,,34817.0,,,,,,,,,,,,
17,17,2021-12-22T10:40:00,34720.1,34784.3,34715.9,34757.25,0,35021.7,34759.55,,,,,34817.0,,,,,,,,,,,,
18,18,2021-12-22T10:45:00,34767.45,34793.5,34755.15,34755.15,0,35021.7,34759.55,,,,,34792.45,,,,,,,,,,,,
19,19,2021-12-22T10:50:00,34764.5,34866.55,34763.3,34842.3,0,35021.7,34759.55,,,,,34792.45,,,,,,,,,,,,
20,20,2021-12-22T10:55:00,34856.8,34857.1,34823.05,34824.7,0,35021.7,34759.55,,,,,34881.8,,,,,,,,,,,,
21,21,2021-12-22T11:00:00,34845.45,34880.7,34844.05,34855.45,0,35021.7,34759.55,,,,,34881.8,,,,,,,,,,,,
22,22,2021-12-22T11:05:00,34857.8,34910.7,34856.65,34897.85,0,35021.7,34759.55,,,,,34881.8,,,,,,,,,,,,
23,23,2021-12-22T11:10:00,34897.8,34916.7,34873.55,34873.55,0,35021.7,34759.55,,,,,34922.8,,,,,,,,,,,,
24,24,2021-12-22T11:15:00,34878.2,34879.9,34837.45,34837.45,0,35021.7,34759.55,,,,,34903.2,,,,,,,,,,,,
25,25,2021-12-22T11:20:00,34870.05,34905.65,34857.1,34857.1,0,35021.7,34759.55,,,,,34903.2,,,,,,,,,,,,
26,26,2021-12-22T11:25:00,34859.95,34880.05,34856.65,34856.65,0,35021.7,34759.55,,,,,34884.95,,,,,,,,,,,,
27,27,2021-12-22T11:30:00,34858.25,34863.7,34831.2,34832.2,0,35021.7,34759.55,,,,,34883.25,,,,,,,,,,,,
28,28,2021-12-22T11:35:00,34845.9,34873.65,34845.9,34860.1,0,35021.7,34759.55,,,,,34883.25,,,,,,,,,,,,
29,29,2021-12-22T11:40:00,34873.1,34901.75,34848.6,34868.6,0,35021.7,34759.55,,,,,34883.25,,,,,,,,,,,,
30,30,2021-12-22T11:45:00,34875.8,34894.85,34854.15,34872.65,0,35021.7,34759.55,,,,,34883.25,,,,,,,,,,,,
31,31,2021-12-22T11:50:00,34895.6,34899.1,34866.4,34866.4,0,35021.7,34759.55,,,,,34920.6,,,,,,,,,,,,
32,32,2021-12-22T11:55:00,34877.75,34910.85,34868.45,34887.5,0,35021.7,34759.55,,,,,34920.6,,,,,,,,,,,,
33,33,2021-12-22T12:00:00,34896.7,34963.35,34896.7,34942.0,0,35021.7,34759.55,,,,,34920.6,,,,,,,,,,,,
34,34,2021-12-22T12:05:00,34945.05,34953.4,34922.95,34930.8,0,35021.7,34759.55,,,,,34970.05,,,,,,,,,,,,
35,35,2021-12-22T12:10:00,34932.1,34939.8,34927.65,34933.45,0,35021.7,34759.55,,,,,34970.05,,,,,,,,,,,,
